vocation,gender
departementsekreterare,unknown
departementskrivare,unknown
departementsråd,unknown
depeschbyråföreståndare,unknown
derricman,unknown
dervisch,male
designer,unknown
desinfektör,unknown
desinfektionsbiträde,unknown
desktoppare,unknown
despot,male
dessinatör,unknown
destillatör,unknown
destillerare,unknown
destruktionsarbetare,unknown
detaljbeställare,unknown
detaljchef,unknown
detaljformare,unknown
detaljhandelsagent,unknown
detaljhandlare,unknown
detaljist,unknown
detaljmontör,unknown
detaljplanerare,unknown
detaljriktare,unknown
detektivchef,unknown
detektiven-trädgårdsmästare,male
detektivförman,male
detektivkommissarie,male
detektivkonstapel,unknown
detektiv,unknown
diabildsmontör,unknown
diagnostiker,unknown
diagrambrytare,unknown
diakonissa,female
diakonus,male
diakon,male
dialektolog,unknown
dialysassistent,unknown
diamantborrare,unknown
diamantborrarförman,unknown
diamantdragskiveslipare,unknown
diamantpolerare,unknown
diamantpressare,unknown
diamantsättare,unknown
diamantslipare,unknown
diamentpressare,unknown
diarieförare,unknown
dibroder,male
didaktiker,unknown
dieselmekaniker,unknown
dieselmontör,unknown
dieselmotorreparator,unknown
dietassistent,unknown
dietbiträde,unknown
dietiker,unknown
dietkokerska,female
diffusionsskötare,unknown
digelstansare,unknown
digeltryckare,unknown
dignitär,unknown
dikesarbetare,unknown
dikn1ngsförman,unknown
dikningsförman,unknown
diktaren,unknown
diktator,male
diligensforare,unknown
dillerska,female
dioxidarbetare,unknown
diplomat,unknown
diplombiolog,unknown
diplomingenjör,unknown
dipparen,unknown
directeur,male
direktörsassistent,unknown
direktörska,female
direktör,unknown
direktförbindare,unknown
direktförsäljare,unknown
direktionssekreterare,unknown
direktorsassistent,unknown
direktor,male
direktris,female
dirigentbiträde,unknown
dirigent,unknown
disös,unknown
discjockey,unknown
diskarbeterska,female
diskare,unknown
diskbetjänt,unknown
diskerska,female
diskförestandare,unknown
diskjockey,unknown
diskmästare,unknown
diskontör,unknown
diskoteksägare,unknown
diskoteksvärd,unknown
diskplockare,unknown
diskrimineringsombudsman,unknown
dispaschör,unknown
disponentassistent,unknown
disponent,unknown
distributör,unknown
distributionsarbetare,unknown
distributionsbiträde,unknown
distributionschef,unknown
distributionsekonomichef,unknown
distributionselektriker,unknown
distributionsfaktor,unknown
distributionsförman,unknown
distributionsingenjör,unknown
distributionskontorist,unknown
distributionsmästare,unknown
distributionsmejerist,unknown
distributionsmontör,unknown
distriktombud,unknown
distriktsåklagare,unknown
distriktsarbetsterapeut,unknown
distriktsassistent,unknown
distriktsöverläkare,unknown
distriktschef,unknown
distriktsförestandare,unknown
distriktsföreståndare,unknown
distriktsförman,unknown
distriktsfyrmästare,unknown
distriktsingenjör,unknown
distriktsinspektör,unknown
distriktsjägmästare,unknown
distriktslaborant,unknown
distriktslantmätare,unknown
distriktsombud,unknown
distriktsrepresentant,unknown
distriktssekreterare,unknown
distriktssjukgymnast,unknown
distriktssjuksköterka,unknown
distriktsstudieledare,unknown
distriktstandläkare,unknown
distriktsveterinär,unknown
diversearbetare,unknown
diversearbeterska,female
diversehandlerska,female
diversekarl,male
divisionschef,unknown
divisionsekonom,unknown
djupdykare,unknown
djuptryckare,unknown
djuptrycksetsare,unknown
djuptrycksförman,unknown
djuptrycksfotograf,unknown
djuptrycksretuschör,unknown
djurfodertillverkare,unknown
djurhusförestandare,unknown
djurkonservator,unknown
djurläkare,unknown
djurparksgrundare,unknown
djursjukvårdare,unknown
djurskötare,unknown
djurskyddsinspektör,unknown
djurskyddstillsyningsman,unknown
djurtämjerskan,female
djuruppfödare,unknown
djuruppköpare,unknown
djurvardare,unknown
docent,unknown
dockarbetaren,unknown
dockforman,unknown
dockmästare,unknown
dockpojke,male
docksmaskinist,unknown
dockteaterledare,unknown
doctor,unknown
doge,unknown
dogmatiker,unknown
doktorand,unknown
doktorinna,female
doktorska,female
doktor,unknown
dokumentalist,unknown
dokumentarbetare,unknown
dokumentärfotograf,unknown
dokumentatör,unknown
dokumentationschef,unknown
dollarprinsessa,female
dollarprins,male
dollarsprins,male
dolomitarbetare,unknown
dolomitbrännare,unknown
domänbokhallare,unknown
domänfiskal,unknown
domänintendent,unknown
domänkamrer,unknown
domänstatistiker,unknown
domare,unknown
domestiker,unknown
domestik,unknown
domherre,male
dominikaner-broder,male
domkyrkoorganist,unknown
domprostinna,female
domprost,unknown
domptör,unknown
domptur,unknown
domsagoassistent,unknown
domsagobiträde,unknown
domsagosekreterare,unknown
domstolsbiträde,unknown
domstolsjurist,unknown
domstolsstenograf,unknown
donkeyman,unknown
don,unknown
doppare,unknown
dopplackerare,unknown
doyen,unknown
dragbrotschare,unknown
drageförman,unknown
dragemästare,unknown
dragist,unknown
dragoman,unknown
dragon,unknown
dragpressare,unknown
dragspelerska,female
dragspelsbyggare,unknown
dragverksarbetare,unknown
dräktsummerska,female
dramapedagog,unknown
dramatiker,unknown
dramatiklärare,unknown
dramatisör,unknown
dramaturg,unknown
dräneringsarbetare,unknown
dränggosse,male
drängpojke,male
dräng,male
drankdräng,male
drätselassistent,unknown
drätselchef,unknown
drätseldirektör,unknown
drätselintendent,unknown
drätselkamrer,unknown
drätselsekreterare,unknown
drätselskrivare,unknown
dressör,unknown
dressinförare,unknown
drevkarl,unknown
driftanalytiker,unknown
driftarbetare,unknown
driftassistent,unknown
driftavdelningschef,unknown
driftövervakare,unknown
driftbokhallare,unknown
driftchef,unknown
driftdirektör,unknown
driftdistriktschef,unknown
driftelektriker,unknown
driftförman,unknown
driftingenjör,unknown
driftinspektör,unknown
driftkontorist,unknown
driftkontrollant,unknown
driftledare,unknown
driftmaskinist,unknown
driftmästare,unknown
driftmontör,unknown
driftoperatör,unknown
driftplanerare,unknown
driftprovare,unknown
driftreparatör,unknown
driftsdirektör,unknown
driftsintendent,unknown
driftsoperatör,unknown
driftsplanerare,unknown
drifttekniker,unknown
driftvakt,unknown
driftvärnsassistent,unknown
driftverkmästare,unknown
drivmedelschef,unknown
drivningsbiträde,unknown
drivningsledare,unknown
drogfabrikör,unknown
droghandlare,unknown
drogist,unknown
droskägare,unknown
droskchaufför,unknown
droskförare,unknown
droskkusk,male
drots,unknown
drottning,female
drott,unknown
druid,unknown
dryckesarbeterska,female
dubbelagent,unknown
duettist,unknown
dukvävare,unknown
dumperförare,unknown
dunfabriksarbetare,unknown
dupliceringsmaskinskötare,unknown
dusksyare,unknown
dykare,unknown
dykarledare,unknown
dykarskötare,unknown
dynamitarbetare,unknown
dynamitförman,unknown
dynamitvakt,unknown
dynamomaskinskötare,unknown
dynmakare,unknown
ebenist,unknown
ebonitarbetare,unknown
ebonitfräsare,unknown
edil,unknown
editor,unknown
effektvardare,unknown
efterbarkare,unknown
efterbehandlare,unknown
efterbehandlingsoperatör,unknown
eftervardsassistent,unknown
eftervardskonsulent,unknown
egaliserare,unknown
egendomsförmedlare,unknown
egendomsherre,male
egendomsherr,male
egendomsinspektör,unknown
egendomsmäklare,unknown
eggslipare,unknown
egyptolog,unknown
ekerplockare,unknown
ekolog,unknown
ekonometriker,unknown
ekonomiassistent,unknown
ekonomibitrade,unknown
ekonomibiträde,unknown
ekonomichef,unknown
ekonomidirektör,unknown
ekonomiföreståndare,unknown
ekonomikonsulent,unknown
ekonomilärare,unknown
ekonomiledare,unknown
ekonomivaktmästare,unknown
ekonom,unknown
ekotoxikolog,unknown
elavläsare,unknown
eldareförman,unknown
eldare,unknown
eldarmatros,unknown
eldledare,unknown
eldledningselektriker,unknown
eldledningsmatros,unknown
eldledningsstyrman,unknown
eldriftledare,unknown
eldriftvakt,unknown
eldslukare,unknown
eldvaktare,unknown
elekktronmikroskopist,unknown
elektricitetsarbeterska,female
elektricitetsarbetskarl,male
elektricitetsverksförestandare,unknown
elektrikerförman,unknown
elektrikerverkmästare,unknown
elektriker,unknown
elektroarbetare,unknown
elektrobatteriarbetare,unknown
elektrobyggnadsingenjör,unknown
elektrodarbetare,unknown
elektrodmakare,unknown
elektrodsvetsare,unknown
elektrofilterskötare,unknown
elektrofysiker,unknown
elektroingenjör,unknown
elektrologist,unknown
elektrolysarbetare,unknown
elektrolysoperatör,unknown
elektrolytugnsskötare,unknown
elektromaskinist,unknown
elektromekaniker,unknown
elektromontör-hopsättare,unknown
elektronikarbetare,unknown
elektronikindustriidkare,unknown
elektronikingenjör,unknown
elektronikmekaniker,unknown
elektronikmontör,unknown
elektronikprovare,unknown
elektronorgelbyggare,unknown
elektrostalverksarbetare,unknown
elektrotekniker,unknown
elementarskolelärarinna,female
elevassistent,unknown
elevatorskötare,unknown
elevbiträde,unknown
elevhemsbiträde,unknown
elevhemsförestandare,unknown
elevkonsulent,unknown
elevvardsassistent,unknown
elförman,unknown
elfdrottning,female
elingenjör,unknown
elinstallatör,unknown
elkonstruktör,unknown
ellindare,unknown
ellinjemontör,unknown
elmaskinist,unknown
elmästare,unknown
elmätareavläsare,unknown
elmätarjusterare,unknown
elmontör,unknown
elnätstekniker,unknown
eloxerare,unknown
elprovare,unknown
elreparatör,unknown
elsäkerhetsingenjör,unknown
elskyltsmontör,unknown
elspishopsättare,unknown
elstalarbetare,unknown
elsvetsare,unknown
eltekniker,unknown
elugnsskotare,unknown
elunderhallsomradeschef,unknown
elverkmästare,unknown
elverksarbetare,unknown
elverkschef,unknown
elverksforestandare,unknown
elverksingenjör,unknown
elverkstekniker,unknown
emaljarbetare,unknown
emaljör,unknown
emaljbrännare,unknown
emaljerare,unknown
emaljeringsförman,unknown
emballageindustriarbetare,unknown
emballagesagare,unknown
emballagesnickare,unknown
emballerare,unknown
emballeringsmaskinskötare,unknown
embetsbroder,male
embetschef,unknown
embetsman,male
embryolog,unknown
emerita,unknown
emeritus,unknown
emigrant,unknown
eminens,unknown
emir,male
emissarie,unknown
endokrinolog,unknown
eneralmönstringskommissarie,male
energikonsulent,unknown
energitekniker,unknown
energiverkschef,unknown
engelsklärare,unknown
engla-notarie,unknown
enhetschef,unknown
enhetsforestandare,unknown
enkeöfverstlöjtnantska,female
enkedoktorinna,female
enke-drottning,female
enkedrottning,female
enkefriherrina,female
enkefriherrinna,female
enkefru-brukspatronessa,female
enkefru-kaptenska,female
enkefrupatronessa,female
enke-grefvinna,female
enkegrefvinna,female
enkehertiginna,female
enke-kejsarinna,female
enkekejsarinna,female
enke-markgrefvinna,female
enkeprofessorska,female
enke-vaktmästerska,female
ensemblechef,unknown
entertainer,unknown
entomolog,unknown
entrévärd,unknown
entreprenadingenjör,unknown
entreprenör,unknown
envåldshärskare,unknown
envåldsherre,male
envåldskonung,male
envoyÃ©,unknown
envoyé,unknown
epiker,unknown
erbebiskop,male
ergonomassistent,unknown
ergonom,unknown
ergoterapeut,unknown
erikedrottning,female
erke-biskop,male
erkebiskop,male
erkediakonus,male
erkediakon,male
erkehertiginna,female
erkehiskop,male
eskortflicka,female
esperantist,unknown
essäist,unknown
estetiker,unknown
etableringschef,unknown
eternitarbetare,unknown
etiker,unknown
etikettarbetare,unknown
etiketterare,unknown
etikettstansare,unknown
etnograf,unknown
etnolog,unknown
etolog,unknown
etsare,unknown
ett_till_sju-lärare,unknown
etuiarbetare,unknown
etuiarbeterska,female
etuimakare,unknown
etuimakerska,female
etymolog,unknown
eunuck,unknown
eurokrat,unknown
eurytmist,unknown
evangelist,unknown
evolutionsfilosof,unknown
examinator,unknown
ex-baron,male
excellens,unknown
excenterpressare,unknown
excerpist,unknown
ex-drottning,female
exdrottning,female
exekutör,unknown
exekutionsnotarie,unknown
exekutor,unknown
exercismästare,unknown
ex-erkebiskop,male
ex-kejsare,male
ex-konung,male
ex-monark,male
expedient,unknown
expeditör,unknown
expeditionsarbetare,unknown
expeditionsassistent,unknown
expeditionsbiträde,unknown
expeditionsbud,unknown
expeditionschef,unknown
expeditionsförestandare,unknown
expeditionsföreständare,unknown
expeditionsförman,unknown
expeditionshallsarbetare,unknown
expeditionskassör,unknown
expeditions-lagerförman,unknown
expeditions-sekreterare,unknown
expeditionssekreterare,unknown
expeditionsskrivare,unknown
expeditionsvaktmästare,unknown
expeditionsvakt,unknown
expeditions-,unknown
expedit,unknown
experimentarbetare,unknown
experimentingenjör,unknown
exploateringschef,unknown
exploateringsingenjör,unknown
exportör,unknown
exportassistent,unknown
exportchef,unknown
exportförsäljare,unknown
exportförsäljningschef,unknown
exportingenjör,unknown
exportinspektör,unknown
exportkontorist,unknown
exportman,unknown
exportspeditör,unknown
expressarbetare,unknown
expressbud,unknown
expressförestandare,unknown
expressinnehavare,unknown
expresskarl,male
exredaktör,unknown
extradetektiv,unknown
extraherare,unknown
extraktionsarbetare,unknown
extralärare,unknown
extraordinarie,unknown
extruderskötare,unknown
führer,male
fÃ¼hrer,male
fabeldiktare,unknown
fäbodpiga,female
fabrikant,male
fabrikörska,female
fabrikör,unknown
fabriksägare,unknown
fabriksarbetare,unknown
fabriksarbeterska,female
fabriksarbetskarl,male
fabriksbud,unknown
fabrikschef,unknown
fabrikselektriker,unknown
fabriksförestånderska,female
fabriksflicka,female
fabriksguide,unknown
fabriksidkare,unknown
fabriksidkerska,female
fabrikskvinna,female
fabriksmästare,unknown
fabriksreparatör,unknown
fabrikssnickare,unknown
fabriksstädare,unknown
fabriqueur,male
facettslipare,unknown
fackbokchef,unknown
fackföreningsfunktionär,unknown
fackföreningsombudsman,unknown
fackföreningsordförande,unknown
facklärare,unknown
fackligsekreterare,unknown
facklig,unknown
fackman,male
fackminister,unknown
fackordnare,unknown
fackskötare,unknown
fadersfigur,unknown
fadersgestalt,unknown
födoämnesexpert,unknown
födorådsgubbe,male
födorådstagerska,female
fédrottning,female
fögderiassistent,unknown
fögderibitrade,unknown
fögderichef,unknown
fögderidirektor,unknown
fögderisekreterare,unknown
fagelhandlare,unknown
fagelplockare,unknown
fågelplockerska,female
fågelsångspojke,male
fågelskådare,unknown
fageluppköpare,unknown
fagottlärare,male
fajansarbetare,unknown
fajansdekoratör,unknown
fakir,male
fäktlärare,unknown
fäktmästare,unknown
faktoriarbetare,unknown
faktoriförman,unknown
faktor,unknown
faktotum,unknown
fakturakontrollant,unknown
fakturaskriverska,female
faktureringschef,unknown
faktureringskontorist,unknown
fakturist,unknown
falbonde,unknown
fälgbandspressare,unknown
falkenerare,unknown
falkskötare,unknown
fällmakeriarbetare,unknown
fallskärmsjägare,unknown
falsarbeterska,female
falserska,female
falsmaskinskötare,unknown
fältadministratör,unknown
fältarbetare,unknown
fältarbetsledare,unknown
fältarkeolog,unknown
fältassistent,unknown
fältbiolog,unknown
fältbiträde,unknown
fältförestandare,unknown
fältflygare,unknown
fältgruppchef,unknown
fältkabelmontör,unknown
fältkamrerska,female
fältkontrollant,unknown
fältkvartermästare,unknown
fält-marskalken,male
fältmarskalkinna,female
fältmarskalk,male
fältmästare,unknown
fältmontör,unknown
fältpastor,unknown
fältpräst,male
fältpredikant,unknown
fälttekniker,unknown
fälttygmästare,unknown
fältväbel,unknown
fältvaktsbefälhafvare,male
fältvakt,unknown
familjedaghemsassistent,unknown
familjeekonom,unknown
familjepedagog,unknown
familjerådgivare,unknown
familjerättsassistent,unknown
familjeterapeut,unknown
familjmodren,female
famnmätare,unknown
fändrick,male
fanerarbetare,unknown
fanerklippare,unknown
fanerlimmare,unknown
fanerplockare,unknown
fanerskärare,unknown
fanersvarvare,unknown
fanervävare,unknown
fängelsedirektör,male
fängelseföreståndare,unknown
fängelsepräst,unknown
fängelsepredikant,unknown
fånggevaldiger,unknown
fångstman,male
fångvaktare,unknown
fångvaktmästare,unknown
fångvakt,unknown
fångvårdare,unknown
fangvardsassistent,unknown
fångvårdsdirektör,unknown
fangvardsdirektor,unknown
fångvårdsinspektör,unknown
fångvårdskamrer,unknown
fangvardskonstapel,unknown
fangvardskurator,unknown
fangvardsman,unknown
fönsterhandlerska,female
fönsterkopplare,unknown
fönsterputsare,unknown
förädlingsarbetare,unknown
faraherde,unknown
föräldraradgivare,unknown
farao,male
förare,unknown
förbandsbefäl,unknown
förberedningsarbetare,unknown
förberedningsförman,unknown
förbindare,unknown
förblasare,unknown
förblekare,unknown
förblyare,unknown
fårbonde,unknown
förbränningsingenjör,unknown
förbundsbroder,male
förbundschef,unknown
förbundsdirektör,unknown
förbundsjurist,unknown
förbundskansler,unknown
förbundskassör,unknown
förbundsombudsman,unknown
förbundsordförande,unknown
förbundspresident,unknown
förbundssekreterare,unknown
färdbeviskontrollant,unknown
fördelningschef,unknown
fördelsägarinna,female
fördelskvinna,female
fördelstagarinna,female
färdiggörare,unknown
färdigmatlagare,unknown
färdigrensare,unknown
färdigsynare,unknown
färdigvärmare,unknown
färdledare,unknown
färdmekaniker,unknown
färdplaneberäknare,unknown
färdtjänsteman,unknown
föredragshållerska,female
föreläsaren,unknown
föreläserska,female
föreningsassistent,unknown
föreningsgardsassistent,unknown
föreningskonsulent,unknown
föreningssekreterare,unknown
förespråkarinna,female
föreståndare,unknown
föreståndarinna,female
förestånderska,female
företagare,unknown
företagsadministratör,unknown
företagsadministrativ,unknown
företagsägare,unknown
företagsanalytiker,unknown
företagsbibliotekarie,unknown
företagschef,unknown
företagsekonom,unknown
företagsförmedlare,unknown
företagsguide,unknown
företagsgymnast,unknown
företagsjurist,unknown
företagskonsult,unknown
företagsledare,unknown
företrädare,unknown
författare,unknown
författarinna,female
förformare,unknown
färgarbetaren,unknown
färgaredräng,male
färgarefabrikör,male
färgaren,unknown
färgare,unknown
färgavsynare,unknown
färgbandsarbetaren,unknown
färgblandare,unknown
färgbrännare,unknown
färgbrytare,unknown
färgeriarbetare,unknown
färgeriarbeterska,female
färgeriförman,unknown
färgeriidkerska,female
färgfabriksarbetare,unknown
färgfabriksarbeterska,female
färghandelsbiträde,unknown
färghandlerska,female
färgkonsulent,unknown
färgmalare,unknown
färgmärkare,unknown
färgmästare,unknown
färgnyanserare,unknown
färgrivare,unknown
färgsprutare,unknown
färgtekniker,unknown
färgtryckspasättare,unknown
färgvägare,unknown
förgyllare,unknown
förhalare,unknown
förhandlaren,unknown
förhandlingschef,unknown
förhandlingsdirektör,unknown
förhandlingsombudsman,unknown
förhandlingssekreterare,unknown
förhörsledare,unknown
farinsmältare,unknown
färjebefälhavare,unknown
färjeman,male
färjkarl,male
färjman,male
färjvakt,unknown
förkantare,unknown
förkromare,unknown
förläggare,unknown
förlagsdirektör,unknown
förlagsfaktor,unknown
förlagsföreståndare,unknown
förlagskonsulent,unknown
förlagsman,male
förlagsredaktör,unknown
förlagssekreterare,unknown
förlagstjänsteman,unknown
förlikningsman,unknown
förlossningsassistent,unknown
förlossningsbiträde,unknown
förlossningspedagog,unknown
farmakolog,unknown
förmånstagerska,female
förman,unknown
farmare,unknown
farmarpojke,male
förmedlare,unknown
förmedlarinna,female
förmyndare,unknown
förnicklare,unknown
förnicklerska,female
förnicklingsförman,unknown
förpackningsbiträde,unknown
förpaktare,unknown
förplägnadslotta,unknown
förplanerare,unknown
förpraktikant,unknown
förpressare,unknown
förradsarbetare,unknown
förrådsassistent,unknown
förrådsbiträde,unknown
förrädsbokförare,unknown
förrädschef,unknown
förrådsdirektör,unknown
förrådsexpedit,unknown
förrädsföreståndare,unknown
förradsförman,unknown
förrådsförvaltaren,unknown
förradsförvaltare,unknown
förrådsförvaltare,unknown
förrådsingenjör,unknown
förradsintendent,unknown
förrådsintendent,unknown
förrådskarl,male
förradskontorist,unknown
förradskontrollör,unknown
förradsman,unknown
förradsmästare,unknown
förradsplanerare,unknown
förradsskrivare,unknown
förradsutlämnare,unknown
förradsvaktmästare,unknown
förrådsverkmästare,unknown
förrättningsman,unknown
försagare,unknown
försågare,unknown
försäkringsackvisitör,unknown
försäkringsagent,unknown
försäkringsaktuarie,unknown
försäkringsassessor,unknown
försäkringsbolagsdirektör,unknown
försäkringschef,unknown
försäkringsdirektör,unknown
försäkringsdomare,unknown
försäkringshandläggare,male
försäkringsinspektör,unknown
försäkringsjurist,unknown
försäkringskandidat,unknown
försäkringskasseassistent,unknown
försäkringskassedirektör,unknown
försäkringskasseexpeditör,unknown
försäkringskasseförestandare,unknown
försäkringskassekassör,unknown
försäkringskasseombudsman,unknown
försäkringskassetjänsteman,unknown
försäkringskasseutredare,unknown
försäkringskonsulent,unknown
försäkringsmäklare,unknown
försäkringsmatematiker,unknown
försäkringsombud,unknown
försäkringsrad,unknown
försäkringsrättsassessor,unknown
försäkringssäljare,unknown
försäkringstekniker,unknown
försäkringstjänsteman,unknown
försäkringsutredare,unknown
försöksassistent,unknown
försöksbiträde,unknown
försöksgardsförestandare,unknown
försöksledare,unknown
försökstekniker,unknown
försäljare,unknown
försäljerska,female
försäljningsassistent,unknown
försäljningsbiträde,unknown
försäljningschef,unknown
försäljningsdirektör,unknown
försäljningsingenjör,unknown
försäljningsinspektör,unknown
försäljningskonsulent,unknown
försäljningskontorist,unknown
försäljningsombud,unknown
försäljningssekreterare,unknown
försäljningstekniker,unknown
församlingsassistent,unknown
församlingsdiakonissa,unknown
församlingsdiakon,unknown
församlingsföreståndare,unknown
församlingsherde,male
församlingskurator,unknown
församlingspastor,male
församlingspräst,unknown
församlingssekreterare,unknown
församlingssyster,unknown
församlingsvärdinna,female
förseglare,unknown
försilvrare,unknown
försilvrerska,female
försilvringsarbeterska,female
försilvringsfabriksarbeterska,female
förskärare,unknown
farskötare,unknown
förskoleassistent,unknown
förskolebiträde,unknown
förskoleförestandare,unknown
förskolekonsulent,unknown
förskollärare,unknown
färskvaruchef,unknown
färskvattenutkörare,unknown
förslutningsmaskinskötare,unknown
förstäderska,female
förstadielärare,unknown
förstärkningskarl,male
försvarsadvokat,unknown
försvarsassistent,unknown
försvarsattaché,unknown
försvarsattache,unknown
försvarsöverläkare,unknown
försvarsövertandläkare,unknown
försvarsöverveterinär,unknown
försvarsdirektör,unknown
försvarsläkare,unknown
försvarsminister,unknown
försvarsomradesbefälhavare,unknown
försvarstalare,unknown
förtäljerska,female
förtennare,unknown
förtroendeläkare,unknown
förtroendeman,unknown
förtroendetandläkare,unknown
förtrollarinna,female
förtullare,unknown
fartygsbefälhavare,unknown
fartygsbefälselev,unknown
fartygsbyggare,unknown
fartygschef,unknown
fartygselektriker,unknown
fartygsinspektör,unknown
fartygsintendent,unknown
fartygsklarerare,unknown
fartygsklassificerare,unknown
fartygskonstruktör,unknown
fartygsmaskinist,unknown
fartygsmekaniker,unknown
fartygsmontör,unknown
fartygsoperatör,unknown
fartygsplanerare,unknown
fartygsplatslagare,unknown
fartygsriggare,unknown
fartygssnickare,unknown
fartygsstädare,unknown
fartygsstyrman,unknown
fartygstelegrafist,unknown
faruppfödare,unknown
förvalsare,unknown
förvaltare,unknown
förvaltarn,unknown
förvaltningsassistent,unknown
förvaltningschef,unknown
förvaltningstjänsteman,unknown
förvaringsbitrade,unknown
förvärmare,unknown
förzinkare,unknown
fasadarbetare,unknown
fasadblästrare,unknown
fasadgjutare,unknown
fasadputsare,unknown
fasadrenoverare,unknown
fasadstampare,unknown
fasadtvättare,unknown
fästeqvinna,female
fastighetsarbetare,unknown
fastighetsassistent,unknown
fastighetschef,unknown
fastighetsdirektör,unknown
fastighetseldare,unknown
fastighetsförman,unknown
fastighetsförmedlare,unknown
fastighetsförvaltare,unknown
fastighetsingenjör,unknown
fastighetsinspektör,unknown
fastighetsintendent,unknown
fastighetskamrer,unknown
fastighetsmäklare,unknown
fastighetsmaskinist,unknown
fastighetsnotarie,unknown
fastighetsrad,unknown
fastighetsreparatör,unknown
fastighetssekreterare,unknown
fastighetsskötare,unknown
fastighetsskotare,unknown
fastighetsstädare,unknown
fastighetstekniker,unknown
fastighetsträdgårdsmästare,unknown
fastighetsvaktmästare,unknown
fastighetsvärderare,unknown
fastighetsvärdinna,female
fästmannen-folkskoleinspektör,male
fattigadvokat,unknown
fattigdoktor,unknown
fattighushjon,unknown
fattigvedsförsäljerska,female
faunist,unknown
favoritförfattare,unknown
favoritslaf,unknown
favoritslafv,unknown
favoritsultaninna,female
featurechef,unknown
fedrottning,female
fellah,unknown
feodalfurste,male
fernissare,unknown
fernissfabriksarbetare,unknown
festfixare,unknown
festvaningschef,unknown
fiberberedare,unknown
fiberblandare,unknown
fiberplattarbetare,unknown
fiberskivehärdare,unknown
fiberskivetorkare,unknown
fibersorterare,unknown
fibertygarbetare,unknown
fideikommissarie,male
figurmålarinna,female
filareförman,unknown
filaren,unknown
fileskärare,unknown
filfabriksarbetare,unknown
filgradare,unknown
filhärdare,unknown
filhuggare,unknown
filialchef,unknown
filialförestandare,unknown
filialföreståndare,unknown
filialförestånderska,female
filmarbetare,unknown
filmare,unknown
filmarkitekt,unknown
filmavsynare,unknown
filmcensor,unknown
filmchef,unknown
filmdekoratör,unknown
filmförfattare,unknown
filmförmedlare,unknown
filmfotograf,unknown
filmframkallare,unknown
filmgranskare,unknown
filminspicient,unknown
filmklippare,unknown
filmkonsulent,unknown
filmkritiker,unknown
filmlaboratoriebiträde,unknown
filmlaborator,unknown
filmljudtekniker,unknown
filmljussättare,unknown
filmmålare,unknown
filmmontör,unknown
filmombrytare,unknown
filmproducent,unknown
filmproduktionsledare,unknown
filmrecensent,unknown
filmredaktör,unknown
filmredigerare,unknown
filmregissör,unknown
filmsättare,unknown
filmskapare,male
filmskarvare,unknown
filmstatist,unknown
filmsynare,unknown
filmsynerska,female
filmtecknare,unknown
filmtekniker,unknown
filmtextskrivare,unknown
filmtryckare,unknown
filmtvättare,unknown
filolog,unknown
filosofie-doktor,unknown
filosofie-kandidat,unknown
filosofilärare,unknown
filosof,unknown
filplockerska,female
filräfflare,unknown
filriktare,unknown
filslipare,unknown
filsorterare,unknown
filstämplare,unknown
filtarbetare,unknown
filtavsynare,unknown
filterhusarbetare,unknown
filterskötare,unknown
filtersorterare,unknown
filterspolare,unknown
filtertvättare,unknown
filtervirkare,unknown
filtkantare,unknown
filtrerare,unknown
filtriktare,unknown
filtskärare,unknown
filtskofabriksarbetare,unknown
filtstoppare,unknown
filtsträckare,unknown
filttorkare,unknown
filtvävare,unknown
filvärmare,unknown
finansanalytiker,unknown
finanschef,unknown
finansdirektör,unknown
finansjurist,unknown
finansman,male
finans-minister,unknown
finansminister,unknown
finanssekreterare,unknown
finbageriinnehaverska,female
finbagerska,female
finkrossare,unknown
finmekaniker,unknown
finnkolis,unknown
finnpojke,male
finrensare,unknown
finrespare,unknown
finsömmerska,female
finsklärare,male
finskrädare,unknown
finsmed,unknown
finsnickare,unknown
finsnickeriålderman,male
finstenhuggare,unknown
finstubbare,unknown
fintvätterska,female
fiolbyggare,unknown
firmainnehaverska,female
fiskalaspirant,unknown
fiskal,unknown
fiskardräng,male
fiskaredräng,male
fiskaregosse,male
fiskarepojke,male
fiskare,unknown
fiskarflicka,female
fiskargosse,male
fiskargubbe,male
fiskarpojke,male
fiskeriassistent,unknown
fiskeribiolog,unknown
fiskeritillsyningsman,unknown
fiskeriuppsyningsman,unknown
fiskevardare,unknown
fiskevardskonsulent,unknown
fiskfabriksarbeterska,female
fiskförsäljerska,female
fiskhandlare,unknown
fiskhandlerska,female
fiskköparedräng,male
fiskköperska,female
fiskkonservfabriksarbetare,unknown
fisk-madamer,female
fiskmånglerska,female
fiskmästare,unknown
fiskmjölsfabriksarbetare,unknown
fiskmjölsfabriksförestandare,unknown
fiskodlaren,unknown
fiskodlingsbiträde,unknown
fiskrökare,unknown
fiskrökeriägare,unknown
fiskrökeriinnehaverska,female
fiskredskapsarbetare,unknown
fiskrensare,unknown
fiskrenserska,female
fiskslaktare,unknown
fiskuppköpare,unknown
fixturarbetare,unknown
fixturmakare,unknown
fjäderfabriksarbetare,unknown
fjäderfäkonsult,unknown
fjäderfäskötare,unknown
fjäderfäslaktare,unknown
fjädermakare,unknown
fjäderprovare,unknown
fjäderspinnare,unknown
fjälledare,unknown
fjällförare,unknown
fjälljägare,unknown
fjärdingskarl,male
fjärdingsman,male
