"word","polarity","strength","sense","written_form","part_of_speech","confidence","lemgram","lemgram_frequency","lemma_frequency","example"
"galant","pos",2,"galant..2","['galant']","ab","0.75","galant..ab.1",1455,1881,"Trots 60 tons tågvikt så klaras backarna galant med ett minimum av växling ."
"spola ned","pos",2,,,"vbm","0.25","spola_ned..vbm.1",137,"None","[han..pn.1 första impuls..nn.1 vara..vb.1 att..sn.1 spola_ned..vbm.1 de..pn.1 i..pp.1 toalett..nn.1 , men..kn.1 han..pn.1 ändra_sig..vbm.1 .]"
"glitterglad","pos",3,"glitterglad..1","['glitterglad']","av","1.0","glitterglad..av.1",0,"None",
"högtstående","pos",2,"högtstående..1","['högtstående']","av","0.75","högtstående..av.1",388,407,"Vi behöver få till en högtstående eftergymnasial yrkesutbildning och vi behöver i Göteborg skapa en kraftfull sådan spjutspets för framtida tillväxt och konkurrenskraft ."
"ogrumlad","pos",2,"ogrumlad..1","['ogrumlad']","av","0.5","ogrumlad..av.1",71,75,"Den moderata glädjen blev inte helt ogrumlad ."
"jättekul","pos",3,"jättekul..1","['jättekul']","av","0.5","jättekul..av.1",6138,6139,"Det skulle vara jättekul för honom , dessutom kan det här bli stora pengar för ÖSK , säger Staffan Dahlgren till Nerikes Allehanda.Al. .."
"iståndsätta","pos",2,"iståndsätta..1","['iståndsätta']","vb","0.75","iståndsätta..vb.1",114,114,"En av inroparna , finländaren Timo Mäkinen , uppger att han kommer att iståndsätta vagnen så att den snart är i körskick ."
"misslyckad","neg",-2,,,"av","0.25","misslyckad..av.1",13272,13311,"Sudanesen ska tidigare ha varit inblandad i en misslyckad robotattack mot en saudisk militärbas i Kharj åtta mil söder om Riyad ."
"sterilisera","neg",2,"sterilisera..2","['sterilisera']","vb","1.0","sterilisera..vb.1",1409,1415,"Som framgår av tabellen är det mycket dyrare att sterilisera en hona än att kastrera en hanne ."
"krokig","neg",-2,,,"av","0.25","krokig..av.1",1819,1827,"SvD med på racingstjärnans biltest inför debuten i Svenska rallyt Fredriksberg En isig , krokig skogsväg mitt ute i ingenstans i Dalarna : här förbereder sig racingspecialisten Mattias Ekström för sitt livs rallyäventyr ."
"pryda","pos",2,"pryda..1","['pryda']","vb","0.75","pryda..vb.1",6015,6036,""" Låt Anna Lindh pryda euron """
"tryckande","neg",-2,,,"av","0.25","tryckande..av.1",12,709,"- Det råder ett lugn , en tryckande tystnad ."
"själaglad","pos",3,"själaglad..1","['själaglad']","av","1.0","själaglad..av.1",103,103,"- Jag är själaglad över LO:s klarspråk i dag ."
"ung","neg",-2,,,"av","0.25","ung..av.1",257184,259419,"Du kommer att ångra dig när du är 40 och inte är ung och lovande längre , har bränt alla studielån , fortfarande inte har någon stadig inkomst , inte kan köpa julklappar till ungarna och inte ens drömmer om att börja betala på nån pensionsförsäkring ( som tur är är det ingen hittills som brytt sig om ett sånt råd ) ."
"tröttsam","neg",-2,"tröttsam..2","['tröttsam']","av","0.5","tröttsam..av.1",2239,2242,"Vår resa tar många timmar och är tröttsam ."
"nu","neg",-2,,,"ab","0.25","nu..ab.1",1590143,1744546,"- Om jag nu ville gå på ett miljömöte tyckte han att jag kunde cykla , trots ösregnet ."
"underfundig","pos",2,,,"av","0.25","underfundig..av.1",961,964,"Både som konstnär och människa var Nils en fin iakttagare och en lågmäld berättare , ofta med en underfundig humor , som aldrig blev elak ."
"feberhet","neg",-2,"feberhet..1","['feberhet']","av","0.5","feberhet..av.1",41,41,"Vid ett tillfälle frågar han sig med ett slags ömsinthet om han borde lägga in barnet i kylskåpet när hon är feberhet ."
"överdriven","pos",2,,,"av","0.25","överdriven..av.1",6410,12103,"Den invändningen är kraftigt överdriven ."
"rosettprydd","pos",2,"rosettprydd..1","['rosettprydd']","av","0.5","rosettprydd..av.1",13,13,"Två halvmånestreck med ryggarna mot varandra och sen vips , var det bara att dra med pennan nedåt mot en rosettprydd och böljande kjol ."
"deklinerbar","neg",-2,"deklinerbar..3","['deklinerbar']","av","0.5","deklinerbar..av.1",1,1,"['av..pp.1', 'denna..pn.1', 'ha..vb.1', 'avleda..vb.1', 'annan..pn.1|andra..av.1', 'ord..nn.1', ',', 'som', 'inte..ab.1', 'lång..av.1|längre..ab.1|länge..ab.1', 'använda..vb.1', 'som', 'relativpronomen..nn.1', ',', 'till_exempel..abm.1', 'aliki', '""', 'en..al.1', 'viss..av.1', '""', 'eller..kn.1', 'aliki', '...', 'aliki', '...', '""', 'en..al.1', 'ena..pn.1', '...', 'en..al.1', 'annan..pn.1|andra..av.1', '...', '""', 'Som', 'indefinit..av.1', 'pronomen..nn.1', 'fungera..vb.1', 'två..nl.1', 'ej..ab.1', 'deklinerbar..av.1', 'ord..nn.1', 'ainiei', '""', 'någon..pn.1', '""', 'och..kn.1', 'giei', '""', 'någon..pn.1', '""', ',', 'varav..ab.1', 'också..ab.1', 'sammansättning..nn.1', 'ui', 'ainiei', '""', 'ingen..pn.1', '""', 'och..kn.1', 'ui', 'giei', '""', 'ingen..pn.1', '""', 'vara..vb.1', 'känna..vb.1|känd..av.1', '.\n']"
"ilsk","neg",-2,"ilsken..1","['ilsk', 'ilsken']","av","0.5","ilsken..av.1",4649,169,"Också Leonsis ser ut som en jovialisk man som kan bli mycket ilsk om han inte får som han vill ."
"uppburen","pos",2,"uppburen..1","['uppburen']","av","0.5","uppburen..av.1",985,1030,"Är man riktigt kritisk skulle man också kunna säga att en så pass uppburen artist borde känna av stämningen och inte dra ner tempot i låt efter låt ."
"sinnessvag","neg",-2,"sinnessvag..1","['sinnessvag']","av","0.5","sinnessvag..av.1",72,72,"Han är sinnessvag , han gör ett kolossalt misstag ."
"opasslig","neg",-2,"opasslig..1","['opasslig']","av","0.75","opasslig..av.1",55,55,"Kanske är hon litet yr och opasslig ."
"välartad","pos",2,"välartad..1","['välartad']","av","0.5","välartad..av.1",344,348,"Efter ett slags "" audition "" med drag av lyteskomik fastnar hon till slut för en välartad arkitekt som hon lurar på Milly ."
"oläkbar","pos",2,"oläkbar..1","['oläkbar']","av","0.5","oläkbar..av.1",5,5,"['""', 'Parsifal..pm.1', '""', 'genom..pp.1', 'att..sn.1', 'älta..vb.1', 'Amfortas', 'oläkbar..av.1', 'sår..nn.1', '.\n']"
"oinsjuknad","pos",2,"oinsjuknad..1","['oinsjuknad']","av","0.75","oinsjuknad..av.1",0,"None",
"träig","neg",-2,"träig..2","['träig']","av","0.5","träig..av.1",450,450,"Det är viktigt att sparrisen inte är träig i änden och att den är spänstig menar hon ."
"dödstråkig","neg",-3,"dödstråkig..1","['dödstråkig', 'dötråkig']","av","0.5","dötråkig..av.1",41,46,"Så mycket osexig , seg och dödstråkig musik som kom på det deppiga 90-talet !"
"enastående","pos",2,"enastående..1","['enastående']","av","0.75","enastående..av.1",4325,4858,"Under den tiden har hon utvecklat en enastående teknik och det är på den hon vinner sina matcher , inte på ren styrka ."
"otillfredsställd","neg",-2,"otillfredsställd..1","['otillfredsställd']","av","0.5","otillfredsställd..av.1",288,336,"Redan har i Danmark antytts att man i Sverige var otillfredsställd med att koncernchefen i Nordea var dansk ."
"försedd","neg",-2,,,"av","0.25","försedd..av.1",1,4587,"Topo Stop är försedd med tredimensionell ljudteknik vilken ger en smärtsam turboeffekt , "" ... frukten av mer än 30 års forskning vid fabriken i Salzburg "" ."
"apa","neg",-2,"apa..4","['apa']","av","1.0","apa..av.1",9,7293,"Jag får alltid för mig att Månsson hellre skulle vilja vara skådis och på småflicksvis klä ut sig och spela apa ."
"urspårad","pos",2,"urspårad..2","['urspårad']","av","0.75","urspårad..av.1",487,494,"Chockdoktrinen är som en urspårad vänsters Da Vinci-koden , menade han ."
"inopportun","neg",-2,"inopportun..1","['inopportun']","av","0.5","inopportun..av.1",72,74,"Schulman sätter en ära i att vara inopportun ."
"förnämlig","pos",2,"förnämlig..1","['förnämlig']","av","1.0","förnämlig..av.1",1258,1262,"SALTBAKAD PIGGVAR 2 personer Ett förnämligt sätt att tillaga en förnämlig fisk ."
"ägna","pos",2,,,"vb","0.25","ägna..vb.1",30468,63402,"Det är en svår balansgång mellan att exempelvis skolan å ena sidan ska främja vissa värderingar och att den å andra sidan inte ska ägna sig åt propaganda ."
"osäker","neg",-2,,,"av","0.25","osäker..av.1",39393,40792,"Men redan 21 april hade han skrivit till henne : ” Förlovningsannonsen i Tageblatt är rentav lite otäck ; för mig låter det som om F. K. på pingstdagen ska utföra ett våghalsigt nummer på någon varieté . ” Det är inte helt lätt att följa alla turer bara utifrån dessa brev ( enbart Kafkas , inte adressaternas ) , särskilt som Kafka själv är så osäker ."
"svårartad","neg",-2,"svårartad..1","['svårartad']","av","0.5","svårartad..av.1",644,660,"Han låg tvåa efter första dagen förra året också , men höll på att skrämma ihjäl rumskamraten när han drabbades av svårartad vinterkräksjuka natten före sista tävlingsdagen ."
"täckelig","pos",2,"täckelig..1","['täckelig']","av","0.5","täckelig..av.1",0,"None",
"fixa","pos",2,"fixa..3","['fixa']","vb","0.5","fixa..vb.1",46507,46596,"Vi står långt ifrån varandra , men inte så långt att jag inte tror att detta går att fixa med lite god vilja ."
"gratulera","pos",2,,,"vb","0.25","gratulera..vb.1",6590,6591,"Hittar du lösningen under dagen så är det bara att gratulera ."
"måla fan på väggen","neg",-2,"måla_fan_på_väggen..1","['måla fan på väggen']","vbm","0.5","måla_fan_på_väggen..vbm.1",248,"None","['–', 'jag..pn.1', 'vilja..vb.1', 'inte..ab.1', 'måla_fan_på_väggen..vbm.1', 'och..kn.1', 'säga..vb.1', 'att..sn.1', 'den..pn.1', 'komma..vb.1', 'att..sn.1', 'hända..vb.1', '.\n']"
"risig","neg",-2,"risig..3","['risig']","av","1.0","risig..av.1",1983,1983,"Färden över den 700 meter långa bron , som spänner över gränsen mellan Norge och Sverige , skulle ha skett i oktober förra året.- Det fanns ingen snö här i oktober , förmodligen inte vid bron heller , säger Nils Rosling till DN.se.På räkningen , som är en betalningspåminnelse , står registreringsnumret på Nils Roslings snöskoter , en Ockelbo 6 000.- Den är riktigt gammal och risig ."
"hemvävd","pos",2,"hemvävd..1","['hemvävd']","av","0.75","hemvävd..av.1",337,337,"De som lyssnat på "" Tessan "" i tv- och radiointervjuer har möjligen reflekterat över , att hon låter mer som cool storstadstjej än hemvävd dalkulla ?"
"förfölja","pos",2,,,"vb","0.25","förfölja..vb.1",7041,7110,"Frågan kommer att förfölja Göran Persson genom valrörelsen ."
"livsduglig","pos",2,"livsduglig..1","['livsduglig']","av","0.5","livsduglig..av.1",306,348,"Han försäkrade att nästa steg i den brittiska politiken för regionen är att ge "" en livsduglig stat "" åt palestinierna ."
"värma","pos",2,,,"vb","0.25","värma..vb.1",11336,16136,"- Han kan värma med el , pellets eller något annat ."
"glitterprydd","pos",2,"glitterprydd..1","['glitterprydd']","av","0.5","glitterprydd..av.1",2,2,"['Västervik..pm.1', ':', 'inför..pp.1', 'år..nn.1', 'luciafirande', 'ha..vb.1', 's..nna.1|s..nn.1|S..nna.1', ':', 't', 'Petri..pm.2|Petri..pm.1', 'kyrka..nn.1', 'i..pp.1', 'Västervik..pm.1', 'sätta_stopp..vbm.1', 'för..pp.1', 'all..pn.1', 'glitterprydd..av.1', 'tärna..nn.1', ',', 'stjärngosse..nn.1', 'och..kn.1', 'tomte..nn.1', '–', 'glitter..nn.1', 'få..vb.1', 'barn..nn.1', 'i..pp.1', 'år..nn.1', 'lämna..vb.1', 'utanför..pp.1', 'kyrka..nn.1', ',', 'skriva..vb.1', 'Västerviks-Tidningen', 'på..pp.1', 'nät..nn.1', '.\n']"
"oförtjänt","pos",2,,,"av","0.25","oförtjänt..av.1",1050,1058,"Falköpings ledningsmål var inte oförtjänt ."
"skoja","pos",2,"skoja..1","['skoja']","vb","0.75","skoja..vb.1",5996,6000,"Det är inte vår avsikt att skoja med kunderna utan man skall kunna säga upp avtalet innan de nya reglerna träder i kraft , säger Mats Bergsman ."
"giftig","neg",-2,"giftig..2","['giftig']","av","0.5","giftig..av.1",10333,10406,"Tjock och giftig rök spreds från branden och vittnen talar om ett eldklot som slog ut mot gatan ."
"extrafin","pos",2,"extrafin..2","['extrafin']","av","0.75","extrafin..av.1",3,6,"Och en sådan ska förstås krönas med en extrafin frukost ."
"läsa in","pos",2,,,"vbm","0.25","läsa_in..vbm.1",3275,"None","['han..pn.1', 'läsa_in..vbm.1', 'också..ab.1', 'på..pp.1', 'band..nn.1', 'och..kn.1', 'spara..vb.2|spara..vb.1', 'massa..nn.2|massa..nn.1', 'med..pp.1', 'dokument..nn.1', '.\n']"
"beivra","neg",-2,"beivra..1","['beivra']","vb","0.75","beivra..vb.1",959,1053,"Staten kan göra en hel del mot rasism : se till att historieundervisningen är bra , beivra hatbrott , skapa förutsättningar för en mer dynamisk ekonomi som skapar många företag och jobb ."
"skärpa sig","pos",2,"skärpa_sig..1","['skärpa sig']","vbm","1.0","skärpa_sig..vbm.1",2995,"None","['–', 'vi..pn.1', 'se..vb.1', 'den_här..pnm.1', 'som', 'en..al.1', 'markering..nn.1', 'och..kn.1', 'hoppas..vb.1|hoppa..vb.1', 'att..sn.1', 'de..pn.1', 'skärpa_sig..vbm.1', 'till..pp.1', 'nästa..av.1', 'år..nn.1', ',', 'säga..vb.1', 'Inger..pm.1', 'Bergsten', '.\n']"
"redo","pos",2,,,"av","0.25","redo..av.1",22134,23094,"Det jag inte förstod var att man tog paus nu när instrumenten äntligen var stämda och redo för nästa nummer ."
"grammatikalisk","pos",2,"grammatikalisk..1","['grammatikalisk']","av","0.75","grammatikalisk..av.1",44,44,"Det är en översättning som på ett olyckligt sätt associerar till genus i grammatikalisk betydelse ."
"anse","neg",-2,,,"vb","0.25","anse..vb.1",347798,367917,"För att få lönebidrag måste arbetsförmedlingen anse att personens arbetsförmåga är helt nedsatt för lång tid framöver ."
"social","pos",2,,,"av","0.25","social..av.1",115766,125672,"Jo , på att de lata och ovilliga lider av telefonfobi , rädsla för familjeseparering och vänseparering , av social osäkerhet , rollförnekelse , scenskräck , referensaversion , samt reflexmässig opposition , det sistnämnda innebär väl att man inte lyder coachen då denne förslår man ska bära ett gummiband runt handleden ."
"toppen","pos",2,"toppen..1","['toppen']","av","0.75","toppen..av.1",11,11,"Vilka hänger på toppen , vilka stannar kvar ?"
"gå ihop","pos",2,"gå_ihop..2","['gå ihop']","vbm","0.5","gå_ihop..vbm.1",13197,"None","['kunna..vb.1', 'man..pn.1', 'få..vb.1', 'en..al.1|den..pn.1', 'ekvation..nn.1', 'att..sn.1', 'gå_ihop..vbm.1', '?\n']"
"bemöta","pos",2,,,"vb","0.25","bemöta..vb.1",11782,11888,"Många gånger har det krävts en viss fingertoppskänsla för att kunna bemöta alla på rätt sätt ."
"sittvänlig","pos",2,"sittvänlig..1","['sittvänlig']","av","0.75","sittvänlig..av.1",57,57,"Men det vore synd att missa afternoon tea i sittvänlig fåtölj i loungen , med en för dagen blåsig Mälarfjärd som utsikt ."
"kry","pos",2,"kry..1","['kry']","av","1.0","kry..av.1",1827,1835,"Personalen är frisk , pigg och kry ."
"burlesk","pos",2,"burlesk..1","['burlesk']","av","0.5","burlesk..av.1",743,862,"Vad sägs om en cocktailoas , en burlesk nattklubb , en reggaekrog , ett modetempel , en fingerfärdig fotograf , ett smart fastighetsbolag , ett skivbolag med attityd , en hbt-bokhandel , ett gäng udda mångsysslare och en skådis med humor ."
"deppad","neg",-2,"deppad..1","['deppad']","av","0.75","deppad..av.1",296,297,"Ändå låter han inte särskilt deppad ."
"sofistikerad","pos",2,,,"av","0.25","sofistikerad..av.1",3517,3591,"Oscar Levertins stilfulla om än något äventyrliga utbroderingar förgyller problemfritt texten , och reportage från egna besök på de historiska platserna ger ytterligare liv åt framställnngen - ingen aldrig så sofistikerad Linnékännare kan gå tomhänt från detta bord ."
"embellera","pos",2,"embellera..1","['embellera']","vb","0.75","embellera..vb.1",0,"None",
"rivas","neg",-2,,,"vb","0.25","rivas..vb.1",1,14116,"Nu anser partiet att hela projektet bör rivas upp ."
"återhämta sig","pos",2,,,"vbm","0.25","återhämta_sig..vbm.1",7950,"None","['-', 'nyckel..nn.1', 'till..pp.1', 'att..ie.1', 'få..vb.1', 'denna..pn.1', 'aktie..nn.1', 'att..ie.1', 'återhämta_sig..vbm.1', 'vara..vb.1', 'oväntad..av.1', 'tillväxt..nn.1', ',', 'antingen', 'när..ab.1', 'den..pn.1', 'gälla..vb.2|gälla..vb.1', 'omsättning..nn.1', ',', 'trafik..nn.1', 'eller..kn.1', 'abonnent..nn.1', '.\n']"
"tidernas","pos",2,"tidernas..1","['tidernas']","av","0.75","tidernas..av.1",2,2,"Schlager : Favorittippade Abba-låten Waterloo tog hem segern när tidernas schlager korades vid den tv-sända jubileumsgalan i Köpenhamn ."
"dyrbar","pos",2,,,"av","0.25","dyrbar..av.1",5490,5683,"En dyrbar grön politik"
"vindstilla","pos",2,,,"av","0.25","vindstilla..av.1",791,791,"Svenskar i täten är lika sällsynt som vindstilla , soliga eftermiddagar i Skottland , men Jesper Parnevik har varit tvåa två gånger om , - 94 och - 97 ."
"avpassa","pos",2,"avpassa..1","['avpassa']","vb","0.5","avpassa..vb.1",1276,1423,"Genom att noga avpassa tryck och temperatur i provet går det sedan att få kornen att växa på längden ."
"minnesvärd","pos",2,"minnesvärd..1","['minnesvärd']","av","0.75","minnesvärd..av.1",2444,2444,"Särskilt minnesvärd är Parisakten som rör sig som en nattlig konstellation av förföriskt stjärnljus och undflyende speglingar ."
"rastlös","neg",-2,,,"av","0.25","rastlös..av.1",2807,2811,"Spanska målare , ryska författare , amerikansk musik ... Och hon är rastlös ."
"prata","pos",2,,,"vb","0.25","prata..vb.1",155856,157339,"Ibland kanske vi borde prata mer om erfarenhet ."
"julfirande","pos",2,"julfirande..2","['julfirande']","av","0.5","julfirande..av.1",88,1226,"- Göteborgarna är generösa och har säkert skänkt ett ton mat , säger Lennart Persson som är en av de cirka 150 frivilliga som hjälper till att rusta för Stadsmissionens julfirande ."
"sjösäker","pos",2,"sjösäker..1","['sjösäker']","av","0.5","sjösäker..av.1",29,30,"Eller varför inte en folkbåt , seriebyggd sjösäker sportstuga för vem som helst till priset av 3 200 kronor ?"
"ledsam","neg",-2,"ledsam..1","['ledsam']","av","1.0","ledsam..av.1",1441,1442,""" Också påhoppen har varit bra reklam för mig "" , som en av deltagarna uttryckte det i en intervju häromsistens , detta väl enligt någon ledsam hustrumisshandlarlogik där nyp och slag , ja vilken beröring som helst ska fungera som uttryck för kärlek ."
"torr","neg",-2,"torr..3","['torr']","av","0.5","torr..av.1",24649,25413,"Rosta de hela kryddorna i en varm , torr stekpanna i cirka 4 minuter tills de är bruna men inte brända ."
"akutopererad","neg",2,"akutopererad..1","['akutopererad']","av","1.0","akutopererad..av.1",29,29,"Han har blivit akutopererad , uppgav räddningstjänsten ."
"obehaglig","neg",-2,"obehaglig..1","['obehaglig']","av","0.5","obehaglig..av.1",13896,13950,"I går blev Jakobssons höjda pekfinger i Stockholm en obehaglig sanning på Zhimik stadion i Kemerovo ."
"döende","neg",-2,,,"av","0.25","döende..av.1",5,4628,"Hur ska vi ta hand om döende patienter ?"
"nedstämd","neg",-2,"nedstämd..1","['nedstämd', 'nerstämd']","av","1.0","nerstämd..av.1",40,1411,"Inte undra på att Maciej Lampe , 19 , låter nedstämd när SvD får telefonkontakt med honom tidigt på lördag morgon svensk tid ."
"lastdryg","pos",2,,,"av","0.25","lastdryg..av.1",15,15,"Umiaken som är en lastdryg båt används bland annat till handelsresor eller transporter för hela familjens egendom ."
"misslyckas","neg",-2,"misslyckas..1","['misslyckas']","vb","0.5","misslyckas..vb.1",28236,28372,"Följden har blivit att utbildade speciallärare under 1990-talet har ersatts av outbildade elevassistenter och fler elever än någonsin misslyckas i skolan ."
"tonlös","neg",2,"tonlös..2","['tonlös']","av","1.0","tonlös..av.1",467,469,"Enligt grannarna sjöng hon med tonlös hög röst varje morgon ."
"feja","pos",2,"feja..1","['feja']","vb","0.5","feja..vb.1",280,280,"- Kanske , men det är kul att bygga och feja , ett bra tidsfördriv , säger Rickard ."
"fullgången","pos",2,"fullgången..1","['fullgången']","av","0.5","fullgången..av.1",811,808,"På grund av svårigheter att få en fullgången graviditet sätts ofta flera ägg in och flerbarnsfödslar är inte ovanliga ."
"hänga läpp","neg",-2,"hänga_läpp..1","['hänga läpp']","vbm","1.0","hänga_läpp..vbm.1",186,"None","['jag..pn.1', 'ha..vb.1', 'så..ab.1', 'mycket', 'att', 'se_fram..vbm.1', 'emot..pp.1', ',', 'att', 'sitta..vb.1', 'och..kn.1', 'hänga_läpp..vbm.1', 'för..pp.1', 'meningslös..av.1', 'sak..nn.1', 'vara..vb.1', 'bara..ab.1', 'onödig..av.1', '!\n']"
"svettas","neg",-2,,,"vb","0.25","svettas..vb.1",0,3515,"Dansarna svettas - och kostymmakarna vet helt enkelt inte om svetten kommer att lösa upp klistret i ett par av kjolarna ."
"lysande","pos",2,"lysande..1","['lysande']","av","0.75","lysande..av.1",0,15429,"Forest Whitaker är lysande som Idi Amin ."
"kvantifiera","pos",2,,,"vb","0.25","kvantifiera..vb.1",602,719,"Men tidningen Expressen har tagit del av en promemoria från UD:s press- , informations- och kommunikationsenhet där det för 2008 äskas extra resurser till ” Beredskap för bröllop i kungahuset ( övertid , presslogistik , datastöd , extrapersonal m.m - omöjligt att kvantifiera i dagsläget ) . ” - Den här punkten har aldrig funnits med i den här typen av äskanden förut och skulle inte finnas där om det inte verkligen är något som ska hända , säger en enligt tidningen initierad uppgiftslämnare ."
"skitglad","pos",2,"skitglad..1","['skitglad']","av","0.75","skitglad..av.1",163,163,"- Det är jag skitglad för ."
"gullig","pos",2,"gullig..1","['gullig']","av","0.5","gullig..av.1",6898,6907,"Numera kan jag tycka att Svensktoppen är ganska gullig och fin på samma sätt som ett sällskap finklädda damer på kondis eller en gammal cykel eller en halv special eller ..."
"stolt","pos",2,"stolt..1","['stolt']","av","0.5","stolt..av.1",30411,30458,"- Jag pratade med mamma i går , och hon sa att hon var stolt över det jag tänker göra ."
"habilitera sig","pos",2,"habilitera_sig..1","['habilitera sig']","vbm","0.75","habilitera_sig..vbm.1",37,"None","['Niemeyer', 'habilitera_sig..vbm.1', '1825', 'i..pp.1', 'Halle..pm.1', 'och..kn.1', 'kalla..vb.1', '1826', 'som', 'extra..ab.1', 'ordinarie..av.1', 'professor..nn.1', 'i..pp.1', 'teologi..nn.1', 'till..pp.1', 'Jena', ',', 'men..kn.1', 'återvända..vb.1', 'redan..ab.1', '1829', 'som', 'professor..nn.1', 'och..kn.1', 'direktor..nn.1', 'för..pp.1', 'en..al.1', 'Franckeska', 'stiftelse..nn.1', 'till..pp.1', 'Halle..pm.1', '.\n']"
"otjänlig","neg",-2,"otjänlig..1","['otjänlig']","av","0.5","otjänlig..av.1",951,978,"Vid restaurang Flavour of India på Roslagsgatan fann gruppen 16 kilo livsmedel som var så dåligt att det bedömdes direkt otjänlig , bland annat kyckling och såser ."
"skitbra","pos",3,"skitbra..1","['skitbra']","av","1.0","skitbra..av.1",2265,2265,"Gamla skitbra låtar - Hit , Shorty och Might be stars - nya sämre - Skin och Uri Geller - och en ny riktigt bra : Little by little ."
"proper","pos",2,"proper..1","['proper']","av","0.5","proper..av.1",1076,1085,"The matter ought to be handled in conjunction with a general reform of the official statistics , whereas the second chamber argued for a proper investigation ."
"rödgråten","neg",-2,"rödgråten..1","['rödgråten']","av","0.5","rödgråten..av.1",138,138,""" Det känns åt helvete "" , sa en rödgråten och oerhört besviken Anna Lindberg , som trots bra hoppning åter blev fyra i VM ."
"odeklinerbar","neg",-2,"odeklinerbar..3","['odeklinerbar']","av","0.5","odeklinerbar..av.1",1,1,"['ord..nn.1', ',', 'mille', ',', 'vara..vb.1', 'singular..nn.1', ',', 'en..al.1', 'adjektiv..nn.1', 'och..kn.1', 'odeklinerbar..av.1', '.\n']"
"beständig","pos",2,,,"av","0.25","beständig..av.1",922,949,"Konventionell terapi med bland annat karbamazepin och baklofen , och tre explorationer av den posteriora loben hade inte givit någon beständig lindring ."
"inbillningssjuk","neg",-2,"inbillningssjuk..1","['inbillningssjuk']","av","1.0","inbillningssjuk..av.1",71,71,"Hans besvär berodde på att han var inbillningssjuk , sade läkarna ."
"fullspäckad","pos",2,,,"av","0.25","fullspäckad..av.1",787,787,"Svenska räntor drog sig svagt nedåt i kölvattnet av räntenedgångarna i USA på fredagen inför en fullspäckad vecka med svenskt BNP och tal från vice Riksbankschef Irma Rosenberg ."
"låta sig nöja","pos",2,"låta_sig_nöja..1","['låta sig nöja']","vbm","0.75","låta_sig_nöja..vbm.1",134,"None","['med..pp.1', 'denna..pn.1', 'ha..vb.1', 'börs..nn.2|börs..nn.1', 'låta_sig_nöja..vbm.1', '.\n']"
"ironisk","neg",-2,,,"av","0.25","ironisk..av.1",8466,8474,"Demien Lichtenstein har kanske haft rätt i att under vissa särskilda betingelser betrakta musikvideon som hundra procent kliché , men det är inte på långa vägar samma sak som att yxa till en för långfilmsbruk - och på fullt allvar tro att vi roat skall svälja den hel bara för att det går fort och för att den påstås vara ironisk ."
"avgifta","pos",2,"avgifta..1","['avgifta']","vb","0.5","avgifta..vb.1",186,197,"Och sedan återgav jag den unga patientens egen historia och kunde på så vis lyfta bort skulden från föräldrarna och "" avgifta "" patientens symtom ."
"smittosam","neg",-2,"smittsam..1","['smittosam', 'smittsam']","av","0.75","smittsam..av.1",2794,140,"Det finns inte heller något som tyder på att en smittosam farsot som skulle spridit sig under VM-tiden 2002 ."
"ny","pos",2,,,"av","0.25","ny..av.1",1171417,1244530,"Det framgick när Maria Larsson igår presenterade direktiven till en ny utredning om en översyn av alkohollagen ."
"tajt","neg",-2,,,"av","0.25","tajt..av.1",4275,4276,"Jag kan sakna den stilfulla produktionen från skivan , vissa finesser går onekligen förlorade , men bandet är så tajt som det går och Infinity är på gott humör ."
"bevänt","pos",2,"bevänt..1","['bevänt']","av","0.75","bevänt..av.1",140,144,"Om det skall vara något bevänt med min kristna tro , min mystikt odlade gudssamvaro - i gudstjänsten eller i den egna kammaren - bör omsorgen om min nästa pocka på i särskilt hög grad ."
"negativ","neg",-2,,,"av","0.25","negativ..av.1",66828,69749,"– Man kan inte gå runt i en vecka och vara nervös , det är bara negativ påverkan ."
"impa","pos",2,"impa..1","['impa']","vb","0.75","impa..vb.1",813,815,"Han har ett högt tonläge , låter stundtals som en stenhård tonårsgrabb som vill impa på brudarna ."
"bryta ned","neg",-2,"bryta_ned..3","['bryta ned', 'bryta ner', 'nedbryta', 'nerbryta']","vb","0.5","nerbryta..vb.1",29,"None","['använda..vb.1', 'koppar..nn.1', ',', 'nerbryta..vb.1', 'NH3', 'som', 'man..pn.1', 'önska..vb.1', ',', 'men..kn.1', 'mycket..ab.1', 'som', 'N2', 'och..kn.1', 'H2', ',', 'vilket', 'förklara..vb.1', 'varför..ab.1', 'Pt..nna.1', 'alltid..ab.1', 'använda..vb.1', 'som', 'katalysator..nn.1', '.\n']"
"kurant","pos",2,"kurant..2","['kurant']","av","1.0","kurant..av.1",177,177,"Först var det hjärnskakningen , sedan ett misshandlat knä som i och för sig inte är helt kurant ännu ."
"älsklig","pos",2,"älsklig..1","['älsklig']","av","0.5","älsklig..av.1",171,171,"Claes Hylinger skriver i Författarnas litteraturhistoria att en strof av Evert Taube som ter sig älsklig och naiv , och är omtyckt just därför , också är ett eko , en efterklang av tonen från trubadurernas Provence för 800 år sedan ."
"godhällig","pos",2,"godhällig..1","['godhällig']","av","0.75","godhällig..av.1",0,"None",
"obotlig","pos",2,"obotlig..1","['obotlig']","av","0.75","obotlig..av.1",1802,1795,"Soldaten drabbades nu i stället av obotlig lungcancer och avled i februari 2008 ."
